feature,importance
heart_rate_lag_1,0.2075552363620135
diastolic_bp_roll_std_6,0.2038314326274044
creatinine_roll_mean_6,0.20361251341814968
wbc_count_roll_std_6,0.20302228564845337
diastolic_bp_lag_3,0.20050772334844216
mean_arterial_pressure_roll_mean_6,0.1982016904656368
wbc_count_lag_3,0.19723888645781015
respiratory_rate_delta_1,0.19375153660451871
lactate_lag_3,0.19233466822776701
diastolic_bp_lag_1,0.18655618044117267
sepsis_risk_score_roll_mean_12,0.18650479991133934
spo2_pct_lag_3,0.1780382359220768
temperature_c_lag_3,0.17403799211111817
hemoglobin,0.17359949761603444
creatinine_roll_std_3,0.17263425388540085
systolic_bp_delta_3,0.16879942878988322
lactate_lag_6,0.16486640940396546
respiratory_rate_roll_std_6,0.1647287453748653
mean_arterial_pressure,0.16447112208562498
diastolic_bp_lag_6,0.15680734493431048
mean_arterial_pressure_lag_6,0.1424693287337237
oxygen_flow_lag_6,0.1363397921413613
shock_index_lag_3,0.12971992584116698
hemoglobin_lag_6,0.12947376099282398
oxygen_flow_roll_std_12,0.12937545108249487
creatinine_lag_3,0.12535730269554676
respiratory_rate_lag_6,0.12505043488599027
diastolic_bp_delta_6,0.12177673190930985
creatinine_lag_6,0.11776372467313276
hemoglobin_roll_std_6,0.11566038970597929
crp_level_lag_1,0.11054732363854249
mean_arterial_pressure_roll_mean_12,0.10899323918221777
diastolic_bp_delta_1,0.10874290810720481
sepsis_risk_score_roll_mean_6,0.10802495826547089
mean_arterial_pressure_lag_3,0.10752323950953098
temperature_c_lag_1,0.10544009537425313
sepsis_risk_score,0.10402232240976649
mean_arterial_pressure_roll_mean_3,0.09739566420624651
sepsis_risk_score_roll_mean_3,0.09318852956431867
systolic_bp_lag_3,0.09066816013058938
heart_rate_lag_3,0.08784942915349113
heart_rate_roll_std_6,0.07404555996413281
heart_rate_lag_6,0.06872638855967728
sepsis_risk_score_roll_std_6,0.06811890655402172
temperature_c_roll_std_6,0.06706627976222458
wbc_count_lag_6,0.0624803009892398
shock_index_roll_std_6,0.059316665837369324
lactate_roll_std_3,0.055415014381049205
temperature_c_delta_1,0.054861317156202946
sepsis_risk_score_roll_std_12,0.05181649252101766
diastolic_bp_roll_std_3,0.05172723628510055
shock_index_roll_std_3,0.04693130406295197
sepsis_risk_score_roll_std_3,0.04605447667123343
spo2_pct_roll_std_6,0.04533926711692342
heart_rate_delta_3,0.042169839717316346
wbc_count_roll_std_3,0.042055713467943324
spo2_pct_roll_std_3,0.03476369260063197
systolic_bp_roll_std_6,0.03215504435302492
sepsis_risk_score_lag_6,0.031038168428478313
heart_rate_delta_1,0.02999723632522276
sepsis_risk_score_lag_1,0.027811281900651914
oxygen_flow_delta_6,0.027096256833459852
hemoglobin_roll_std_3,0.02603412939729836
crp_level_roll_std_3,0.025737101437196864
oxygen_device_prev,0.023811290246791076
mean_arterial_pressure_roll_std_3,0.021858388315703307
systolic_bp_roll_std_3,0.020901503987928147
temperature_c_roll_std_3,0.016527523732002444
diastolic_bp_delta_3,0.015762663166015475
oxygen_flow_roll_std_6,0.013521449653425971
respiratory_rate_roll_std_3,0.00765659939512427
systolic_bp_delta_1,0.005346715361675353
sepsis_risk_score_lag_3,0.00518881962323327
fever_excess,0.002566193806732905
sepsis_risk_score_delta_6,0.0024773042185120948
oxygen_flow_delta_1,0.0012756221908587007
oxygen_device,0.0
oxygen_flow,0.0
nurse_alert,0.0
hypothermia_gap,0.0
heart_rate_roll_std_3,0.0
oxygen_flow_delta_3,0.0
oxygen_flow_roll_std_3,0.0
sepsis_risk_score_delta_1,0.0
sepsis_risk_score_delta_3,0.0
mean_arterial_pressure_roll_std_6,0.0
nurse_alert_prev,0.0
